Degree ID,Degree,Year,Completions,share
5,"Bachelors Degree",2014,5788,0.6775137539506029
3,"Associates Degree",2014,2555,0.29907526629989467
6,"Postbaccalaureate Certificate",2014,81,0.00948144679854852
7,"Masters Degree",2014,52,0.006086854734870654
2,"1 to 2 Year Postsecondary Certificate",2014,27,0.0031604822661828397
5,"Bachelors Degree",2015,5279,0.7006902044066897
3,"Associates Degree",2015,2013,0.26718874435890627
7,"Masters Degree",2015,90,0.011945845500398195
6,"Postbaccalaureate Certificate",2015,85,0.01128218741704274
17,"Research Doctorate",2015,29,0.0038492168834616406
5,"Bachelors Degree",2016,4719,0.7541953012625859
3,"Associates Degree",2016,1380,0.22055298066165893
7,"Masters Degree",2016,99,0.015822279047466838
6,"Postbaccalaureate Certificate",2016,33,0.005274093015822279
17,"Research Doctorate",2016,12,0.001917852005753556
5,"Bachelors Degree",2017,3674,0.7174380003905487
3,"Associates Degree",2017,1089,0.2126537785588752
7,"Masters Degree",2017,261,0.050966608084358524
6,"Postbaccalaureate Certificate",2017,41,0.008006248779535248
2,"1 to 2 Year Postsecondary Certificate",2017,22,0.004296035930482328
5,"Bachelors Degree",2018,3284,0.7294535761883607
3,"Associates Degree",2018,770,0.17103509551310528
7,"Masters Degree",2018,327,0.07263438471790315
1,"Less than 1 Year Postsecondary Certificate",2018,35,0.007774322523322968
17,"Research Doctorate",2018,31,0.006885828520657486
5,"Bachelors Degree",2019,2433,0.6521039935674082
7,"Masters Degree",2019,612,0.16403109086035916
3,"Associates Degree",2019,531,0.14232109354060574
6,"Postbaccalaureate Certificate",2019,59,0.015813454837845083
17,"Research Doctorate",2019,34,0.009112838381131064
5,"Bachelors Degree",2022,1876,0.41753839305586465
7,"Masters Degree",2022,1268,0.28221678166036057
3,"Associates Degree",2022,825,0.18361896283107054
21,"Certificate of at least 1 but less than 2 academic years",2022,241,0.053638993990652126
6,"Postbaccalaureate Certificate",2022,91,0.02025372802136657
5,"Bachelors Degree",2021,1814,0.43511633485248263
7,"Masters Degree",2021,1148,0.2753657951547134
3,"Associates Degree",2021,795,0.19069321180139123
21,"Certificate of at least 1 but less than 2 academic years",2021,171,0.04101703046294075
17,"Research Doctorate",2021,102,0.024466298872631326
5,"Bachelors Degree",2023,1746,0.3655013606866234
7,"Masters Degree",2023,1629,0.34100900146535484
3,"Associates Degree",2023,789,0.16516642244086246
21,"Certificate of at least 1 but less than 2 academic years",2023,298,0.06238224827297467
17,"Research Doctorate",2023,98,0.020514967552857442
5,"Bachelors Degree",2020,1648,0.47506486019025657
7,"Masters Degree",2020,853,0.24589218795041798
3,"Associates Degree",2020,772,0.2225425194580571
6,"Postbaccalaureate Certificate",2020,55,0.01585471317382531
21,"Certificate of at least 1 but less than 2 academic years",2020,49,0.014125108100317094
5,"Bachelors Degree",2013,1634,0.8085106382978723
3,"Associates Degree",2013,150,0.07422068283028203
6,"Postbaccalaureate Certificate",2013,95,0.047006432459178626
7,"Masters Degree",2013,74,0.03661553686293914
2,"1 to 2 Year Postsecondary Certificate",2013,30,0.014844136566056407
5,"Bachelors Degree",2012,1267,0.7409356725146199
3,"Associates Degree",2012,172,0.10058479532163743
6,"Postbaccalaureate Certificate",2012,119,0.0695906432748538
7,"Masters Degree",2012,82,0.047953216374269005
2,"1 to 2 Year Postsecondary Certificate",2012,29,0.01695906432748538
