PUMA ID,PUMA,Year,Average Wage,Average Wage Appx MOE,Record Count,Total Population,Total Population MOE Appx
,,2022,97651.79487179487,67957.9203351913,48,1131,823.4704338424166
"79500US0100100","Lauderdale, Colbert & Franklin Counties PUMA, AL",2014,62139.067708333336,64180.44600610974,8,192,339.73843679878854
"79500US0100100","Lauderdale, Colbert & Franklin Counties PUMA, AL",2015,55811.16935483871,50862.29739262237,9,248,385.9690680265612
"79500US0100100","Lauderdale, Colbert & Franklin Counties PUMA, AL",2016,39243.77397260274,35761.271529649595,5,146,296.35535840687265
"79500US0100100","Lauderdale, Colbert & Franklin Counties PUMA, AL",2017,43748.69756097561,30993.65090639983,8,205,351.02734599140024
"79500US0100100","Lauderdale, Colbert & Franklin Counties PUMA, AL",2018,40320.56086956522,24536.038445305883,7,230,371.7624207982981
"79500US0100100","Lauderdale, Colbert & Franklin Counties PUMA, AL",2019,47740.67441860465,23941.36308191494,6,172,321.6143600148943
"79500US0100100","Lauderdale, Colbert & Franklin Counties PUMA, AL",2020,52900.975,55840.27927632851,6,120,268.73246017934497
"79500US0100100","Lauderdale, Colbert & Franklin Counties PUMA, AL",2021,51415.026905829596,79518.93259821145,11,223,366.10138921746835
"79500US0100100","Lauderdale, Colbert & Franklin Counties PUMA, AL",2022,74353.88636363637,198175.64045693283,11,220,363.6290638452328
"79500US0100100","Lauderdale, Colbert & Franklin Counties PUMA, AL",2023,129653.42413793104,262537.4026147222,15,290,417.30564390218564
"79500US0100200","Limestone County PUMA, AL",2014,62235.09583333333,68799.53574916521,17,480,536.248600210979
"79500US0100200","Limestone County PUMA, AL",2015,72840.32771822359,58997.55846915961,23,653,624.8084373584435
"79500US0100200","Limestone County PUMA, AL",2016,67430.52859618717,49831.420491339406,20,577,587.652783363846
"79500US0100200","Limestone County PUMA, AL",2017,72735.27600849257,60032.85961897789,19,471,531.3338989920471
"79500US0100200","Limestone County PUMA, AL",2018,69957.64571428571,54570.930586191986,19,525,560.8185398961629
"79500US0100200","Limestone County PUMA, AL",2019,64413.300829875516,56500.53605859436,16,482,537.5154364472245
"79500US0100200","Limestone County PUMA, AL",2020,45544.30034129693,49353.83600388958,10,293,419.565332965896
"79500US0100200","Limestone County PUMA, AL",2021,66682.3949044586,33585.12122673377,9,314,434.3327953305462
"79500US0100200","Limestone County PUMA, AL",2022,72332.01369863014,59426.25793258539,7,219,362.532364148262
"79500US0100200","Limestone County PUMA, AL",2023,81478.640625,110395.87576260598,8,128,277.4015765838533
"79500US0100300","Morgan & Lawrence Counties--Decatur City PUMA, AL",2014,46598.57894736842,41329.63944812882,7,133,282.83279820321195
"79500US0100300","Morgan & Lawrence Counties--Decatur City PUMA, AL",2015,45584.96575342466,37615.558846327716,7,146,296.2961965242396
"79500US0100300","Morgan & Lawrence Counties--Decatur City PUMA, AL",2016,46768.55,49342.122091424935,7,120,268.6760641997313
"79500US0100300","Morgan & Lawrence Counties--Decatur City PUMA, AL",2018,48854.44680851064,56171.44547355071,5,94,237.84806570763237
"79500US0100300","Morgan & Lawrence Counties--Decatur City PUMA, AL",2019,45482.686274509804,39422.22971501545,6,102,247.74823509116626
"79500US0100300","Morgan & Lawrence Counties--Decatur City PUMA, AL",2020,48265.1743119266,33597.9092355918,6,109,256.09322463602524
"79500US0100300","Morgan & Lawrence Counties--Decatur City PUMA, AL",2021,45348.68817204301,32168.072213718035,5,93,236.58864336305433
"79500US0100300","Morgan & Lawrence Counties--Decatur City PUMA, AL",2023,55033.528,40990.18881585774,6,125,274.23012955132907
"79500US0100401","Madison County (North & East)--Huntsville City (East) PUMA, AL",2022,107635.58173076923,205338.56639804677,9,208,353.35384130442003
"79500US0100401","Madison County (North & East)--Huntsville City (East) PUMA, AL",2023,111936.31578947368,149551.98318865983,11,304,426.8506801864534
"79500US0100402","Huntsville (North & Far West), Madison (East) & Triana Cities PUMA, AL",2014,54679.52737752161,43601.441943235666,10,347,455.93798890051914
"79500US0100402","Huntsville (North & Far West), Madison (East) & Triana Cities PUMA, AL",2015,52576.33860045147,40036.30658533363,13,443,514.7693138516529
"79500US0100402","Huntsville (North & Far West), Madison (East) & Triana Cities PUMA, AL",2016,53367.125925925924,42815.51438304369,11,405,492.42631909868913
"79500US0100402","Huntsville (North & Far West), Madison (East) & Triana Cities PUMA, AL",2017,47016.28954423592,41041.44188622401,9,373,472.705806149772
"79500US0100402","Huntsville (North & Far West), Madison (East) & Triana Cities PUMA, AL",2018,60800.56653992395,50355.5727495644,9,263,397.3160657603151
"79500US0100402","Huntsville (North & Far West), Madison (East) & Triana Cities PUMA, AL",2019,55731.637223974765,56706.86264251677,11,317,436.0492583250687
"79500US0100402","Huntsville (North & Far West), Madison (East) & Triana Cities PUMA, AL",2020,59258.770833333336,57639.47338291909,11,288,415.7522566231039
"79500US0100402","Huntsville (North & Far West), Madison (East) & Triana Cities PUMA, AL",2021,61671.01384083045,59595.14451321375,12,289,416.4767285934281
"79500US0100402","Huntsville (North & Far West), Madison (East) & Triana Cities PUMA, AL",2022,89288.35034802785,47500.03539730575,13,431,508.2837022050323
"79500US0100402","Huntsville (North & Far West), Madison (East) & Triana Cities PUMA, AL",2023,81417.21324717285,43624.88425967575,20,619,608.5008426168371
"79500US0100403","Huntsville City (Central & South) PUMA, AL",2014,70737.47857142857,95684.74155228736,10,140,290.0367894148531
"79500US0100403","Huntsville City (Central & South) PUMA, AL",2015,76340.77292576419,50878.02429231771,11,229,370.5369876447803
"79500US0100403","Huntsville City (Central & South) PUMA, AL",2016,69013.28727272728,36339.065998748294,12,275,405.862243155508
"79500US0100403","Huntsville City (Central & South) PUMA, AL",2017,70351.03374233129,34244.78980593056,15,326,441.6336140352363
"79500US0100403","Huntsville City (Central & South) PUMA, AL",2018,72760.20977011495,33056.4555539533,13,348,456.1803014910521
"79500US0100403","Huntsville City (Central & South) PUMA, AL",2019,77290.02788844622,28069.38237689274,19,502,546.9548785807475
"79500US0100403","Huntsville City (Central & South) PUMA, AL",2020,74297.78371501272,40480.67848316132,18,393,484.5473073677049
"79500US0100403","Huntsville City (Central & South) PUMA, AL",2021,77481.33514986376,46532.92615671747,16,367,468.46362014520423
"79500US0100403","Huntsville City (Central & South) PUMA, AL",2022,79378.80392156863,54084.34451363586,15,357,462.09871577990833
"79500US0100403","Huntsville City (Central & South) PUMA, AL",2023,69764.42655367231,61107.93213328605,16,354,460.1817468558064
"79500US0100501","Marshall & Madison (Far Southeast) Counties PUMA, AL",2014,25600.542857142857,23953.59215240391,9,105,251.28883345118902
"79500US0100501","Marshall & Madison (Far Southeast) Counties PUMA, AL",2015,38066.020833333336,224101.31373691786,8,48,170.01086295417585
"79500US0100501","Marshall & Madison (Far Southeast) Counties PUMA, AL",2016,22115.428571428572,135591.72784236594,8,84,224.81907821310153
"79500US0100501","Marshall & Madison (Far Southeast) Counties PUMA, AL",2017,43840.20945945946,107479.37106647319,13,148,298.21803854959853
"79500US0100501","Marshall & Madison (Far Southeast) Counties PUMA, AL",2018,46987.70430107527,90807.61223013133,14,186,334.1991350831343
"79500US0100501","Marshall & Madison (Far Southeast) Counties PUMA, AL",2019,51400.893939393936,95689.1502808007,15,198,344.7853514280785
"79500US0100501","Marshall & Madison (Far Southeast) Counties PUMA, AL",2020,49576.95,69020.50577643998,15,200,346.52112459570145
"79500US0100501","Marshall & Madison (Far Southeast) Counties PUMA, AL",2021,67169.05882352941,72199.47814411181,16,187,335.1201420384367
"79500US0100501","Marshall & Madison (Far Southeast) Counties PUMA, AL",2022,75867.29838709677,110843.353483959,12,124,273.0031764167446
"79500US0100501","Marshall & Madison (Far Southeast) Counties PUMA, AL",2023,83372.20731707317,158396.62167337822,13,82,222.11706925902394
"79500US0100600","DeKalb & Jackson Counties PUMA, AL",2017,121008.112,269218.8343024167,7,125,274.10284825420376
"79500US0100600","DeKalb & Jackson Counties PUMA, AL",2018,124390.37692307692,260580.30659189157,8,130,279.5119339107535
"79500US0100600","DeKalb & Jackson Counties PUMA, AL",2019,107569.71945701358,160568.0552038256,9,221,364.10565751357535
"79500US0100600","DeKalb & Jackson Counties PUMA, AL",2020,111545.09132420091,165440.4399086147,8,219,362.45617257566397
"79500US0100600","DeKalb & Jackson Counties PUMA, AL",2021,118921.32905982906,163191.60570800124,9,234,374.6210862752328
"79500US0100600","DeKalb & Jackson Counties PUMA, AL",2022,87497.56852791877,50486.75065099389,9,197,343.88545149345526
"79500US0100600","DeKalb & Jackson Counties PUMA, AL",2023,85960.4564102564,50449.894557959604,7,195,342.14871922832594
"79500US0100700","Etowah & Cherokee Counties PUMA, AL",2022,68860.00547945205,48089.7002435729,9,365,467.3768507174653
"79500US0100700","Etowah & Cherokee Counties PUMA, AL",2023,58105.795918367345,38608.01190615818,8,245,383.3418966815608
"79500US0100800","Calhoun County PUMA, AL",2015,25421.172549019608,19374.262429402323,6,255,390.9497015882396
"79500US0100800","Calhoun County PUMA, AL",2016,28497.94568690096,23349.46382016328,8,313,432.8585472681367
"79500US0100800","Calhoun County PUMA, AL",2017,27302.641414141413,37590.49748590998,6,198,344.7241415232326
"79500US0100800","Calhoun County PUMA, AL",2018,47839.151020408164,60529.64805777093,7,245,383.2755251435799
"79500US0100800","Calhoun County PUMA, AL",2019,62769.74418604651,69687.26230041172,6,215,359.14940408878596
"79500US0100900","St. Clair & Blount Counties PUMA, AL",2015,66966.62068965517,75499.17310833179,6,174,323.3402533343609
"79500US0100900","St. Clair & Blount Counties PUMA, AL",2016,46470.5,52056.15463445296,6,128,277.44934754870735
"79500US0100900","St. Clair & Blount Counties PUMA, AL",2017,51502.61261261261,51846.70820861933,5,111,258.4083942835156
"79500US0100900","St. Clair & Blount Counties PUMA, AL",2018,52337.84210526316,52059.16472440713,5,114,261.8694250676708
"79500US0100900","St. Clair & Blount Counties PUMA, AL",2019,53109.78899082569,53777.45260003024,5,109,256.0758934395099
"79500US0100900","St. Clair & Blount Counties PUMA, AL",2023,70845.72,80250.7076569084,7,150,300.3413062735939
"79500US0101000","Cullman, Marion & Winston Counties PUMA, AL",2015,58599.71153846154,138882.60260640833,8,52,176.92580468809714
"79500US0101000","Cullman, Marion & Winston Counties PUMA, AL",2016,65557.79069767441,167088.3709599302,5,43,160.90550006827073
"79500US0101000","Cullman, Marion & Winston Counties PUMA, AL",2017,64479.91176470588,127050.23135859375,7,68,202.27719994459014
"79500US0101000","Cullman, Marion & Winston Counties PUMA, AL",2018,66051.70588235294,130147.25831523148,7,68,202.28097641301648
"79500US0101000","Cullman, Marion & Winston Counties PUMA, AL",2019,79427.52,157398.93389602072,7,75,212.4227241461256
"79500US0101000","Cullman, Marion & Winston Counties PUMA, AL",2020,64913.793103448275,140163.94435814387,8,87,228.76149697342413
"79500US0101000","Cullman, Marion & Winston Counties PUMA, AL",2021,59331.395348837206,104653.90299046521,10,129,278.44797213716106
"79500US0101000","Cullman, Marion & Winston Counties PUMA, AL",2022,59836.92975206611,61081.236177754654,14,242,381.12403256227503
"79500US0101000","Cullman, Marion & Winston Counties PUMA, AL",2023,71029.25087108013,72488.7818765283,17,287,414.88826343625044
"79500US0101100","West Alabama PUMA, AL",2014,62210.14678899082,59458.68667090685,5,109,255.98068275025494
"79500US0101100","West Alabama PUMA, AL",2016,65679.24137931035,52626.33997482929,7,116,264.04377002699306
"79500US0101100","West Alabama PUMA, AL",2017,63767.694805194806,45090.623560827924,9,154,304.0963536175537
"79500US0101100","West Alabama PUMA, AL",2018,61660.11111111111,46127.76821906713,10,180,328.65283007084145
"79500US0101100","West Alabama PUMA, AL",2019,55846.77837837838,50812.457661752676,10,185,333.17200757776305
"79500US0101100","West Alabama PUMA, AL",2020,57327.06077348066,53174.3353403702,9,181,329.56958818716333
"79500US0101100","West Alabama PUMA, AL",2021,43918.333333333336,41810.34099289888,6,120,268.55277368217116
"79500US0101100","West Alabama PUMA, AL",2022,63098.21383647799,74391.6147184349,5,159,308.9898156231643
"79500US0101100","West Alabama PUMA, AL",2023,60141.92380952381,64876.825620128686,6,105,251.28777352293753
