Age,CIP2 ID,CIP2,Year,Average Wage,Average Wage Appx MOE,Record Count,Total Population,Total Population MOE Appx,share
19,"30","Interdisciplinary Studies",2014,7307.556818181818,21085.152704827597,5,88,230.31167587418201,0.00011721970836269377
19,"30","Interdisciplinary Studies",2018,15302.714285714286,72124.71313854388,7,119,267.82311854566626,0.0001411104562848107
19,"30","Interdisciplinary Studies",2019,18406.520710059172,57061.53634230207,10,169,319.1669133993208,0.00019381711921243733
19,"30","Interdisciplinary Studies",2020,18120.56140350877,59497.42201687605,11,171,321.0499191549046,0.00018741595052218906
19,"30","Interdisciplinary Studies",2021,19812.518292682926,67585.87817243056,11,164,314.4100694412074,0.00017198509602326414
19,"30","Interdisciplinary Studies",2022,16473.083798882682,40530.01514788159,10,179,328.4740149901267,0.00018260219347059441
19,"30","Interdisciplinary Studies",2023,22264.944444444445,59721.66624408043,6,108,255.14466013818065,0.00010737038009114553
20,"30","Interdisciplinary Studies",2014,24294.86842105263,20386.746451362167,24,570,586.1533949936502,0.0007592640200765391
20,"30","Interdisciplinary Studies",2015,23036.154078549847,19278.088732798707,25,662,631.6881401464094,0.0008558898668845609
20,"30","Interdisciplinary Studies",2016,17127.395184135978,10206.791112196315,23,706,652.3430319479249,0.0008930694772634125
20,"30","Interdisciplinary Studies",2017,13905.266932270917,8928.241078415858,26,753,673.7070827579396,0.0009246377274295685
20,"30","Interdisciplinary Studies",2018,18249.637575757577,12095.764934703298,26,825,705.1808470482583,0.0009782867767644439
20,"30","Interdisciplinary Studies",2019,20055.55418719212,16334.589649045043,29,812,699.6028742667975,0.0009312396497070954
20,"30","Interdisciplinary Studies",2020,20600.281088082902,17755.419623902268,31,772,682.1537719767919,0.000846111776626491
20,"30","Interdisciplinary Studies",2021,23518.45480494767,17860.706393023545,40,1051,795.9295031178768,0.0011021727800027475
20,"30","Interdisciplinary Studies",2022,28681.605731225296,20315.283707266914,34,1012,781.0225484300231,0.0010323654736996734
20,"30","Interdisciplinary Studies",2023,25374.70306748466,23039.58291862707,34,815,700.8941084676075,0.000810248701613737
21,"30","Interdisciplinary Studies",2014,12929.667955801106,6920.711365045265,85,1810,1044.506585993978,0.002410996274278133
